,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
75,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Lead,Men,Semi-Final,2012-09-12,/api/v1/category_rounds/2120/results,/api/v1/events/738/result/1
76,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Lead,Men,Final,2012-09-12,/api/v1/category_rounds/2121/results,/api/v1/events/738/result/1
77,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Lead,Women,Qualification,2012-09-12,/api/v1/category_rounds/2111/results,/api/v1/events/738/result/5
78,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Lead,Women,Semi-Final,2012-09-12,/api/v1/category_rounds/2112/results,/api/v1/events/738/result/5
79,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Lead,Women,Final,2012-09-12,/api/v1/category_rounds/2113/results,/api/v1/events/738/result/5
80,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Boulder,Men,Qualification,2012-09-12,/api/v1/category_rounds/2122/results,/api/v1/events/738/result/3
81,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Boulder,Men,Semi-Final,2012-09-12,/api/v1/category_rounds/2123/results,/api/v1/events/738/result/3
82,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Boulder,Men,Final,2012-09-12,/api/v1/category_rounds/2124/results,/api/v1/events/738/result/3
83,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Boulder,Women,Qualification,2012-09-12,/api/v1/category_rounds/2114/results,/api/v1/events/738/result/7
84,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Boulder,Women,Semi-Final,2012-09-12,/api/v1/category_rounds/2115/results,/api/v1/events/738/result/7
85,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Boulder,Women,Final,2012-09-12,/api/v1/category_rounds/2116/results,/api/v1/events/738/result/7
86,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
87,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Final,2012-09-12,/api/v1/category_rounds/2126/results,/api/v1/events/738/result/2
88,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Women,Qualification,2012-09-12,/api/v1/category_rounds/2117/results,/api/v1/events/738/result/6
89,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Women,Final,2012-09-12,/api/v1/category_rounds/2118/results,/api/v1/events/738/result/6
90,IFSC Climbing Worldcup (L) - Puurs (BEL) 2012,741,2012,Puurs,Lead,Men,Qualification,2012-09-21,/api/v1/category_rounds/2134/results,/api/v1/events/741/result/1
91,IFSC Climbing Worldcup (L) - Puurs (BEL) 2012,741,2012,Puurs,Lead,Men,Semi-Final,2012-09-21,/api/v1/category_rounds/2135/results,/api/v1/events/741/result/1
92,IFSC Climbing Worldcup (L) - Puurs (BEL) 2012,741,2012,Puurs,Lead,Men,Final,2012-09-21,/api/v1/category_rounds/2136/results,/api/v1/events/741/result/1
93,IFSC Climbing Worldcup (L) - Puurs (BEL) 2012,741,2012,Puurs,Lead,Women,Qualification,2012-09-21,/api/v1/category_rounds/2131/results,/api/v1/events/741/result/5
94,IFSC Climbing Worldcup (L) - Puurs (BEL) 2012,741,2012,Puurs,Lead,Women,Semi-Final,2012-09-21,/api/v1/category_rounds/2132/results,/api/v1/events/741/result/5
95,IFSC Climbing Worldcup (L) - Puurs (BEL) 2012,741,2012,Puurs,Lead,Women,Final,2012-09-21,/api/v1/category_rounds/2133/results,/api/v1/events/741/result/5
96,IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Men,Qualification,2012-09-29,/api/v1/category_rounds/2140/results,/api/v1/events/742/result/1
97,IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Men,Semi-Final,2012-09-29,/api/v1/category_rounds/2141/results,/api/v1/events/742/result/1
98,IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Men,Final,2012-09-29,/api/v1/category_rounds/2142/results,/api/v1/events/742/result/1
99,IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5
100,IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Semi-Final,2012-09-29,/api/v1/category_rounds/2138/results,/api/v1/events/742/result/5
101,IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Final,2012-09-29,/api/v1/category_rounds/2139/results,/api/v1/events/742/result/5
102,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Lead,Men,Qualification,2012-10-12,/api/v1/category_rounds/2148/results,/api/v1/events/743/result/1
103,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Lead,Men,Semi-Final,2012-10-12,/api/v1/category_rounds/2149/results,/api/v1/events/743/result/1
104,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Lead,Men,Final,2012-10-12,/api/v1/category_rounds/2150/results,/api/v1/events/743/result/1
105,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Lead,Women,Qualification,2012-10-12,/api/v1/category_rounds/2143/results,/api/v1/events/743/result/5
106,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Lead,Women,Semi-Final,2012-10-12,/api/v1/category_rounds/2144/results,/api/v1/events/743/result/5
107,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Lead,Women,Final,2012-10-12,/api/v1/category_rounds/2145/results,/api/v1/events/743/result/5
108,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Qualification,2012-10-12,/api/v1/category_rounds/2151/results,/api/v1/events/743/result/2
