name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo
Király Nóra,1497.8886295397208,1,-2.11,,40.0,1497.89,1497.89
BENACH ZUBERO Julia,1497.8473796400565,1,-2.15,,42.0,1497.85,1497.85
Feichtenschlager Sarah,1497.807012588973,1,-2.19,,46.0,1497.81,1497.81
ADAMOVSKA Eliska,1497.8026352423394,2,-1.1,2.17,30.5,1497.8,1500.43
Guillen Francis,1497.667391848133,1,-2.33,,63.0,1497.67,1497.67
Rauberger Sophie,1497.5903363711072,1,-2.41,,29.0,1497.59,1497.59
Takeuchi Ayaka,1497.4137204126582,4,-0.65,3.67,19.25,1497.41,1504.59
Mendez Paula,1497.4095663903768,1,-2.59,,41.0,1497.41,1497.41
Harini Harini,1497.3879449526166,1,-2.61,,32.0,1497.39,1497.39
Herrmann Lena,1497.3322160829512,1,-2.67,,30.0,1497.33,1497.33
Buršíková Martina,1497.0721279626327,1,-2.93,,58.0,1497.07,1497.07
Romero Leslie,1497.0257051494277,1,-2.97,,65.0,1497.03,1497.03
Vopatova Edita,1496.985297551563,1,-3.01,,34.0,1496.99,1496.99
Chornoskutova Kateryna,1496.9301739774544,1,-3.07,,42.0,1496.93,1496.93
Benach Zubero Julia,1496.8387133395236,1,-3.16,,39.0,1496.84,1496.84
Rudka Maja,1496.7920208062258,2,-1.6,4.18,52.5,1495.44,1496.79
Mellado Quinteros Ignacia,1496.7484434088149,10,-0.33,7.15,41.3,1486.99,1508.44
Shin Woon-Seon,1496.7129983886537,7,-0.47,7.04,21.71,1488.03,1498.42
Okawachi serika,1496.537262786897,1,-3.46,,39.0,1496.54,1496.54
McKeehan Grace,1496.5248806767686,3,-1.16,4.5,34.67,1494.26,1500.52
OGURA Sana,1496.4857675899254,1,-3.51,,37.0,1496.49,1496.49
Yachnik Julia,1496.4226419898282,1,-3.58,,34.0,1496.42,1496.42
Shiran Noa,1496.3581518767883,24,-0.15,4.91,34.38,1485.34,1507.5
Shagina Liubov,1496.195213197787,3,-1.27,9.56,26.33,1496.2,1507.72
Lerondel Meije,1496.1507189745967,1,-3.85,,56.0,1496.15,1496.15
Toothill Holly,1496.1022055364342,1,-3.9,,34.0,1496.1,1496.1
PEETERMANS Zoe,1496.0982658140395,4,-0.98,8.05,32.0,1496.1,1509.83
Harnisch Martina,1496.0632772550946,2,-1.97,4.49,16.5,1496.06,1501.21
SEO Yejoo,1495.8222896054435,11,-0.38,5.12,30.73,1493.09,1508.92
Tolokonina Maria,1495.7826359117544,2,-2.11,3.89,18.0,1495.14,1495.78
Kups Ida,1495.7710050049036,4,-1.06,8.38,42.25,1491.01,1499.12
Toda Homare,1495.7581491038393,3,-1.41,1.83,39.0,1495.76,1496.49
Goric Lana,1495.7105464461974,1,-4.29,,41.0,1495.71,1495.71
Simon Paloma,1495.59374917914,1,-4.41,,35.0,1495.59,1495.59
KEREM Ayala,1495.5400095039543,2,-2.23,5.93,45.5,1495.54,1501.96
Hopfensitz Sandra,1495.5165888674762,3,-1.49,2.89,46.33,1495.17,1495.55
van Essen Sabina,1495.4934201635526,5,-0.9,5.37,38.8,1495.49,1507.3
KOBAYASHI Mai,1495.310516871429,3,-1.56,3.19,44.0,1493.21,1496.24
Alekseeva Kseniia,1495.25180222194,6,-0.79,7.37,20.5,1487.61,1496.58
Avender Sophia,1495.245676461809,1,-4.75,,63.0,1495.25,1495.25
Davila Emilia,1495.2028171470245,1,-4.8,,70.0,1495.2,1495.2
Karnis Bronwen,1495.1936527481857,1,-4.81,,52.0,1495.19,1495.19
Stöckl Annika,1495.1332306124348,1,-4.87,,52.0,1495.13,1495.13
NAKAMURA Mao,1495.070151075228,4,-1.23,5.17,26.5,1495.07,1504.05
KHARISMA RAGIL RAKASIWII,1495.0640730606215,1,-4.94,,28.0,1495.06,1495.06
Deshayes Louna,1495.0306148427005,2,-2.48,4.64,49.0,1495.03,1500.8
CHEN Xuanzhen,1495.0120167120988,1,-4.99,,35.0,1495.01,1495.01
MEUL Hannah,1494.8807756740769,5,-1.02,8.18,27.2,1494.88,1512.35
Le Neve Melissa,1494.8723855550527,12,-0.43,6.47,19.75,1469.83,1501.78
