Unnamed: 0,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
16,UIAA Worldcup (B) - Fiera di Primiero (ITA) 2005,394,2005,Fiera di Primiero,Boulder,Men,,2005-06-16,,/api/v1/events/394/result/3
17,UIAA Worldcup (B) - Fiera di Primiero (ITA) 2005,394,2005,Fiera di Primiero,Boulder,Women,,2005-06-16,,/api/v1/events/394/result/7
18,UIAA Worldcup (L) - Zürich (SUI) 2005,395,2005,Zürich,Lead,Men,,2005-06-24,,/api/v1/events/395/result/1
19,UIAA Worldcup (L) - Zürich (SUI) 2005,395,2005,Zürich,Lead,Women,,2005-06-24,,/api/v1/events/395/result/5
20,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Lead,Men,,2005-07-01,,/api/v1/events/396/result/1
21,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Lead,Women,,2005-07-01,,/api/v1/events/396/result/5
22,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Boulder,Men,,2005-07-01,,/api/v1/events/396/result/3
23,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Boulder,Women,,2005-07-01,,/api/v1/events/396/result/7
24,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Men,,2005-07-01,,/api/v1/events/396/result/2
25,UIAA World Championship - Munich (GER) 2005,396,2005,Munich,Speed,Women,,2005-07-01,,/api/v1/events/396/result/6
26,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Lead,Men,,2005-07-12,,/api/v1/events/397/result/1
27,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Lead,Women,,2005-07-12,,/api/v1/events/397/result/5
28,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Men,,2005-07-12,,/api/v1/events/397/result/2
29,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,397,2005,Chamonix,Speed,Women,,2005-07-12,,/api/v1/events/397/result/6
30,UIAA Worldcup (S) - Daone (ITA) 2005,398,2005,Daone,Speed,Men,,2005-07-29,,/api/v1/events/398/result/2
